yaw,pitch,legibile,size,label
-35.95,-48.8,FALSE,201,0
5.71,-52.62,FALSE,10.6,0
26.71,-40.04,FALSE,10.6,0
-46.1,23.6,TRUE,122.9,1
-22.47,30.45,TRUE,75.3,1
39.22,40.24,FALSE,6.5,0
-29.8,-21.33,TRUE,75.3,1
5.5,1.7,TRUE,10.6,1
33.97,-17.76,FALSE,6.5,0
-32.54,-46.88,FALSE,6.5,0
21.67,-36.64,TRUE,17.3,1
37.93,-51.43,FALSE,75.3,0
-38.23,28.14,TRUE,6.5,1
-14.15,34.48,FALSE,75.3,0
42.36,28.96,FALSE,201,0
-31.66,-10.02,TRUE,122.9,1
-9.57,-1.06,TRUE,122.9,1
52.66,-0.79,FALSE,6.5,0
-44.18,-50.26,FALSE,201,0
-17.83,-43.6,TRUE,75.3,1
45.84,-51.24,FALSE,6.5,0
-34.85,34.09,FALSE,75.3,0
-8.52,25.32,TRUE,28.3,1
28.52,40.63,FALSE,46.1,0
-48.13,-0.04,FALSE,46.1,0
-5.63,-11.84,TRUE,6.5,1
44.59,-18.5,TRUE,201,1
-49.39,-48.81,FALSE,6.5,0
-8.12,-50.51,FALSE,75.3,0
42.68,-51.49,FALSE,17.3,0
-50.19,22.62,FALSE,10.6,0
-22.56,36,FALSE,28.3,0
49.47,17.42,FALSE,6.5,0
-28.37,-2.74,TRUE,122.9,1
6.3,-14.61,TRUE,46.1,1
38.13,1.14,TRUE,122.9,1
-51.57,-46.34,TRUE,201,1
8.45,-37.26,TRUE,17.3,1
50.95,-42.96,TRUE,201,1
-52.59,23.97,FALSE,75.3,0
-19.76,36.85,FALSE,28.3,0
48.86,37.48,FALSE,28.3,0
-52.01,-26.42,FALSE,17.3,0
-23.97,-25.94,FALSE,17.3,0
53.12,8.62,FALSE,10.6,0
-49.25,-46.67,FALSE,28.3,0
-8.27,-48.68,TRUE,122.9,1
40.97,-43.93,TRUE,75.3,1
-43.16,17.56,FALSE,122.9,0
-18.78,19.19,TRUE,46.1,1
40.09,40.03,FALSE,6.5,0
-53.75,7.97,FALSE,10.6,0
7.04,-9.64,TRUE,201,1
38.87,-3.14,TRUE,75.3,1
-49.95,-46.58,FALSE,122.9,0
14.88,-46.42,TRUE,122.9,1
51.12,-47.75,FALSE,28.3,0
-46.52,37.5,FALSE,17.3,0
-17.49,24.65,FALSE,6.5,0
48.49,17.79,FALSE,10.6,0
-34.85,-17.07,TRUE,201,1
-1.48,-7.61,TRUE,201,1
44.51,3.86,TRUE,46.1,1
-42.49,-45.72,FALSE,122.9,0
-11.83,-38.11,TRUE,46.1,1
44.95,-35.47,TRUE,75.3,1
-34.35,21.45,TRUE,201,1
-3.02,28.66,TRUE,28.3,1
40.05,27.83,FALSE,17.3,0
-37.43,-9.55,TRUE,122.9,1
-15.63,5.61,TRUE,46.1,1
33.47,6.68,FALSE,10.6,0
-51.52,-41.93,FALSE,122.9,0
-2.75,-52.33,FALSE,28.3,0
47.5,-49.09,FALSE,17.3,0
-45.98,22.34,FALSE,17.3,0
7.05,22,TRUE,46.1,1
38.63,31.66,FALSE,201,0
-32.08,-16.62,TRUE,46.1,1
13.95,-20.42,TRUE,75.3,1
48.46,-15.77,TRUE,122.9,1
-49.86,-33.72,FALSE,28.3,0
-20.11,-35.15,TRUE,201,1
51.51,-30.92,FALSE,10.6,0
-38.22,25.13,TRUE,46.1,1
23.67,33.82,FALSE,28.3,0
39.94,31.2,FALSE,201,0
-31.86,-1.37,TRUE,201,1
21.82,-7.12,TRUE,75.3,1
35.96,-3.81,TRUE,28.3,1
-33.58,-50.6,TRUE,122.9,1
-14.83,-35.46,FALSE,6.5,0
51.98,-33.52,FALSE,46.1,0
-54.4,13.92,FALSE,10.6,0
-16.37,16.27,FALSE,10.6,0
28.39,20.76,TRUE,122.9,1
-39.15,-15.65,FALSE,10.6,0
-13.99,-10.58,TRUE,28.3,1
48.24,-20.85,FALSE,28.3,0
-38.14,-47.16,TRUE,201,1
-24.06,-36.92,FALSE,6.5,0
36.78,-48.68,FALSE,6.5,0
-47,28.02,FALSE,28.3,0
2.66,20.21,TRUE,17.3,1
52.7,21.19,FALSE,201,0
-33.62,-9.62,TRUE,28.3,1
16.2,4.71,TRUE,122.9,1
33.23,-15.31,TRUE,75.3,1
-28.1,-47.33,TRUE,75.3,1
-1.49,-43.48,TRUE,28.3,1
31.31,-35.78,TRUE,17.3,1
-51.78,30.51,FALSE,122.9,0
15.23,35.77,TRUE,122.9,1
51.34,21.99,FALSE,46.1,0
-34.36,-6.23,TRUE,17.3,1
12.41,-18.92,TRUE,17.3,1
42.11,7.6,FALSE,10.6,0
-42.11,-37.3,TRUE,46.1,1
-6.77,-46.89,TRUE,201,1
46.29,-48.19,FALSE,201,0
-43.97,36.17,FALSE,75.3,0
-8.42,31.27,TRUE,28.3,1
46.69,25.37,FALSE,28.3,0
-49.36,-4.48,FALSE,75.3,0
-9.7,-22.48,FALSE,10.6,0
30.78,-10.13,FALSE,46.1,0
-39.9,-48.85,FALSE,10.6,0
-19.46,-33.72,TRUE,46.1,1
46.03,-50.25,FALSE,122.9,0
-42.38,23.83,TRUE,75.3,1
-2.03,20.14,TRUE,201,1
45.06,19.21,TRUE,122.9,1
-52.64,8.32,FALSE,6.5,0
5.02,-19.37,TRUE,17.3,1
36.86,-7.08,TRUE,28.3,1
-40.22,-34,TRUE,17.3,1
21.55,-38.32,TRUE,75.3,1
49.02,-37.57,FALSE,17.3,0
-37.79,18.83,FALSE,122.9,0
-19.41,32.82,FALSE,17.3,0
40.09,21.54,FALSE,6.5,0
-51.17,-20.88,TRUE,201,1
6.14,2.03,TRUE,75.3,1
54.32,6.42,FALSE,46.1,0
-31.5,-48.67,TRUE,201,1
20.09,-50.28,TRUE,46.1,1
37.14,-42.87,TRUE,201,1
-40.56,21.57,FALSE,17.3,0
-18.88,38.03,FALSE,10.6,0
41.24,19.54,FALSE,46.1,0
-36.91,-12.39,TRUE,201,1
-6.58,-18.92,TRUE,46.1,1
44.64,-3.23,FALSE,10.6,0
-46.28,-37.21,TRUE,46.1,1
7.85,-38.87,TRUE,201,1
35.05,-41.72,FALSE,10.6,0
-49.79,27.53,FALSE,75.3,0
3.96,28.52,TRUE,28.3,1
39.85,28.02,TRUE,201,1
-30,-22.39,TRUE,75.3,1
-16.48,9.62,TRUE,28.3,1
54.1,-13.9,FALSE,46.1,0
-36.6,-50.29,FALSE,10.6,0
-11.3,-44.23,TRUE,201,1
45.3,-48.69,FALSE,6.5,0
-31.47,13.19,TRUE,28.3,1
4.03,18.79,TRUE,122.9,1
50.57,31.31,FALSE,10.6,0
-33.19,-21.64,TRUE,122.9,1
9.18,-2.99,TRUE,122.9,1
50.26,-17.2,TRUE,75.3,1
-33.28,-47.89,TRUE,17.3,1
-10.78,-40.67,TRUE,17.3,1
51.42,-52.26,FALSE,28.3,0
-54.12,30.96,TRUE,75.3,1
8.02,41.08,FALSE,6.5,0
46.83,32.87,FALSE,46.1,0
-34.12,-11.63,TRUE,201,1
14.24,-16.24,TRUE,75.3,1
37.33,3.1,TRUE,201,1
-49.55,-43.48,FALSE,10.6,0
20.82,-32.07,TRUE,10.6,1
48.43,-46.25,FALSE,75.3,0
-48.52,31.47,FALSE,122.9,0
10.19,13.15,TRUE,6.5,1
35.63,25.99,FALSE,10.6,0
-45.82,6.74,FALSE,46.1,0
16.87,9.54,TRUE,10.6,1
48.26,0.01,TRUE,75.3,1
-35.28,-42.95,TRUE,10.6,1
